accession,subset,y_score
Q9SUI6,negB,0.054391124830984516
P34857,negB,0.2928615870281952
Q16891,negB,0.7581451423338077
W7MC48,negB,0.01124710405887841
Q6FQ45,negB,0.11291080431020806
Q942X4,negB,0.40092793666192295
E1BHC3,negB,0.15942150465330673
P17159,negB,1.984255875836232
Q66H15,negB,0.7112385854250389
Q39593,negB,0.995457960743594
Q54V79,negB,1.1459168920300105
Q9T0G0,negB,0.48268011331005
Q9BY78,negB,0.8679593248585347
Q7Z7N9,negB,2.004989887697347
Q32LH4,negA,0.060879528640614744
Q9Y7V0,negB,0.573863974824433
O16887,negB,0.4890371848041877
Q06127,negB,0.49011219415996665
O55126,negA,0.9774061326570229
Q9D6K9,negB,0.38634827621052636
P25565,negB,1.2797805402144267
P45895,negB,0.748962537776884
Q9FQ20,negA,0.06174218121948538
Q6CKX6,negB,0.35670475889261155
P56937,negB,0.30600158215850115
W6QB15,negB,0.5740761147878226
Q35141,negB,0.8987212506819269
P34240,negB,0.6383463802077936
A0A455LLV4,negB,0.7165256890621237
Q9W429,negB,1.627639626973294
Q8CD54,negB,1.7821933353133277
Q12336,negB,0.7970992270578261
Q2HIM5,negB,0.7038193878200594
Q9TLX0,negB,0.7895903076063213
Q9FVQ5,negB,0.8418733928956299
Q96IK0,negB,0.06213215260356453
A0A098DDI4,negB,0.8488938810280904
Q8R0W1,negA,0.10688380188455016
O43674,negB,0.4380489373235954
Q38PR8,negB,0.8340983443401608
G5EF48,negB,0.7433314893200231
Q05B87,negA,0.0013991857249244788
D7UQ39,negB,0.8587541335603186
Q6DRD4,negA,0.40398967773292327
A4DA85,negB,0.02839781663471319
Q8H1F2,negB,0.0697254938254872
Q08416,negB,0.2340745732280567
Q8TGP9,negB,0.10409694492629562
O70423,negB,1.9387211079973126
Q6NLC1,negB,0.7348209148261478
Q2Q5T5,negB,1.0821773595804824
P47094,negB,1.5967743361189846
Q5R903,negA,0.2194558174137824
